1 2 1
1 3 3
1 4 2
1 5 1
1 6 1
1 7 1
1 40 1
2 8 1
2 4 1
2 5 2
2 42 2
3 9 1
3 10 2
3 4 1
3 24 1
4 10 3
4 5 4
4 11 3
4 12 4
4 6 1
4 7 2
4 8 1
4 9 2
4 22 1
4 23 2
4 43 1
5 10 4
5 13 2
5 11 4
5 12 3
5 8 2
5 9 2
5 22 2
5 23 2
5 39 1
5 40 1
6 14 4
6 15 3
6 12 2
6 7 4
6 16 1
6 17 1
6 18 1
6 19 1
6 46 1
6 67 2
6 68 1
7 14 4
7 15 4
7 20 2
7 21 2
7 11 1
7 12 1
7 46 1
7 67 1
7 68 1
7 70 1
8 40 3
8 10 2
8 31 1
8 39 3
8 41 1
8 42 1
8 43 1
9 10 4
9 23 1
9 29 1
10 29 1
10 11 1
10 39 3
10 23 3
11 13 3
11 45 2
11 12 1
11 41 1
11 65 1
12 14 2
12 46 2
12 18 1
12 15 1
12 23 1
12 63 1
12 67 1
12 70 1
13 45 4
13 42 1
13 63 1
14 15 2
14 70 3
14 18 1
14 46 1
15 51 1
15 20 2
15 21 1
15 18 1
15 19 1
15 46 1
15 67 1
15 68 1
15 70 2
16 47 3
16 48 4
16 17 4
16 18 4
16 19 3
16 21 1
16 50 1
17 61 3
17 47 3
17 48 3
17 19 3
17 18 2
17 50 1
18 47 4
18 48 3
18 19 4
18 21 1
18 23 1
18 36 1
18 37 1
18 45 1
18 52 1
18 53 1
18 61 1
18 62 2
18 70 2
19 62 3
19 36 1
19 61 3
19 47 4
19 48 4
19 37 1
19 50 1
19 52 1
19 53 1
19 70 1
20 51 3
20 46 2
20 34 3
20 21 4
20 37 1
20 26 1
20 50 2
21 34 3
21 26 1
21 46 1
21 50 2
21 51 1
40 39 1
40 43 4
40 42 3
31 25 3
31 29 3
31 30 2
31 38 1
39 41 1
39 42 1
29 25 4
29 26 4
29 28 3
29 27 1
29 38 1
29 23 1
29 49 1
23 22 1
23 24 1
45 41 1
45 66 2
45 67 4
45 68 4
45 64 1
45 65 1
46 59 2
46 34 1
46 51 1
46 56 1
46 68 1
70 47 2
51 34 1
51 69 3
47 61 4
47 48 4
47 55 1
48 52 1
48 61 2
48 53 1
48 62 1
61 62 1
62 36 1
62 37 1
62 68 1
36 27 1
36 52 4
36 53 2
36 37 2
36 50 1
36 65 1
34 26 1
34 50 2
34 37 1
34 54 1
34 69 1
37 27 1
37 30 2
37 33 1
37 35 2
37 54 1
37 55 1
37 53 3
37 50 1
37 68 1
25 26 2
25 27 1
25 28 1
25 30 2
26 27 1
26 32 1
26 33 1
26 28 1
27 28 2
27 35 4
27 30 1
28 38 1
28 49 1
30 32 3
30 35 4
30 33 4
30 38 1
30 44 2
30 50 1
30 65 2
32 44 4
32 35 3
32 33 2
32 41 1
32 65 2
33 41 2
33 44 3
33 35 4
33 64 1
35 44 1
35 64 1
38 56 1
38 57 3
38 58 3
44 41 2
44 65 2
44 64 2
41 65 1
50 58 1
50 52 1
50 53 1
50 54 1
52 60 2
52 55 2
52 53 2
53 55 2
53 60 2
54 49 1
54 57 3
54 58 2
55 60 4
56 59 3
56 58 1
56 64 1
57 59 2
57 58 4
58 59 1
58 64 1
65 64 3
66 64 1
66 67 3
67 68 1
59 64 1
