betweenness,weighted_betweenness,degree,weighted-degree,edges,in_backbone_PLAM,in_backbone_PMFG,in_backbone_MB,in_backbone_UMB,in_backbone_HB,in_backbone_HSS,source,target,weight,in_backbone_MSP,in_backbone_DS
0.0009421678830727,4.266939750810719e-05,450,11919.0,1-2,False,False,True,False,False,False,1,2,7.0,False,True
0.0006626415174834,0.0,405,11745.0,1-3,True,True,True,True,False,False,1,3,9.0,True,True
0.0008268462109559,0.0,240,8178.0,1-4,False,False,True,False,False,False,1,4,7.0,False,True
0.0010497589501622,0.0,270,8091.0,1-5,False,True,True,True,False,False,1,5,8.0,True,True
0.0007783848163949,0.0,180,4524.0,1-6,False,True,True,False,False,False,1,6,7.0,False,True
0.0004032492852116,0.0,225,6786.0,1-7,True,True,True,True,False,False,1,7,9.0,True,True
0.000813205936628,8.533879501621438e-05,255,7047.0,1-8,False,True,True,True,False,False,1,8,8.0,True,True
0.0007896887143876,0.0,165,4437.0,1-9,False,True,True,True,False,False,1,9,8.0,True,True
0.0005140519981334,0.0017097221206284,180,5307.0,1-11,False,True,False,False,False,False,1,11,4.0,False,True
0.0005698439256271,0.0014335552321983,255,6264.0,1-25,False,True,False,False,False,False,1,25,3.0,False,True
0.0017016900758027,0.0018394743401143,420,12354.0,1-31,False,False,False,False,False,False,1,31,3.0,False,True
0.0033825682932596,0.0019783530696229,495,12441.0,1-34,False,True,False,False,False,False,1,34,4.0,False,True
0.000946718693064,0.0009618578070959,135,4524.0,1-48,False,False,False,False,False,False,1,48,3.0,False,True
0.000759230004593,0.0003925584570745,255,6438.0,1-73,False,False,True,False,False,False,1,73,4.0,False,True
0.0026603656167821,0.0029896998470987,285,7395.0,1-162,False,False,True,False,False,False,1,162,3.0,False,True
0.0012173511585071,2.83277389012156e-05,630,16851.0,10-2,False,False,True,False,False,False,2,10,6.0,False,False
0.0011004565454632,0.0,360,8357.0,11-2,False,False,True,False,False,False,2,11,7.0,False,False
0.0009855616124796,0.0,420,9590.0,12-2,False,False,True,False,False,False,2,12,6.0,False,False
0.0010658164181567,0.0,690,13837.0,13-2,False,False,True,False,False,False,2,13,7.0,False,False
0.0010545550141594,0.0,480,12878.0,2-4,True,True,True,True,False,False,2,4,9.0,True,True
0.0010521159364309,0.0,540,12741.0,2-5,False,False,True,False,False,False,2,5,7.0,False,True
0.0011569732434914,0.0020125059935607,660,12330.0,14-2,False,False,True,False,False,False,2,14,3.0,False,False
0.002092370225605,0.0,720,16029.0,15-2,False,False,True,False,False,False,2,15,6.0,False,False
0.0026659649393671,0.0043397531010855,720,16577.0,16-2,False,False,False,False,False,False,2,16,3.0,False,False
0.0021853680373663,0.0,480,10412.0,17-2,False,True,True,False,False,False,2,17,7.0,False,False
0.0014813036321962,0.0,330,7124.0,18-2,False,False,True,False,False,False,2,18,6.0,False,False
0.0013350633375142,0.001477303124398,690,16303.0,19-2,False,True,False,False,False,False,2,19,3.0,False,False
0.0014238133529811,0.0029999495725302,450,10686.0,2-7,False,False,False,False,False,False,2,7,3.0,False,True
0.0020344997412686,0.0043117205008829,510,11097.0,2-8,False,False,False,False,False,False,2,8,3.0,False,True
0.0010724653425745,1.0667349377026795e-05,630,14796.0,2-20,False,True,True,False,False,False,2,20,6.0,False,True
0.0018657417995234,0.0003763181266553,750,16988.0,2-21,False,False,False,False,False,False,2,21,3.0,False,True
0.0011355984604288,0.0,600,13289.0,2-22,True,True,True,True,False,False,2,22,9.0,True,True
0.0022430279627389,0.0,330,6987.0,2-9,False,False,True,False,False,False,2,9,6.0,False,True
0.0017320705082279,0.0016882073237679,840,17947.0,2-23,False,False,False,False,False,False,2,23,3.0,False,True
0.0017262942405156,0.0013210796428922,360,7124.0,2-6,False,False,False,False,False,False,2,6,2.0,False,True
0.0021591348845967,0.0037912267654971,960,18084.0,2-26,False,False,True,False,False,False,2,26,3.0,False,False
0.0011722188822129,0.0015824928139316,630,14522.0,2-27,False,False,False,False,False,False,2,27,3.0,False,False
0.0020145301425152,0.0096252286716488,1050,17125.0,2-29,False,False,False,False,False,False,2,29,2.0,False,False
0.0019082061185479,0.0042256866904467,360,8083.0,2-36,False,False,False,False,False,False,2,36,3.0,False,True
0.0015133768776947,0.0021999199194539,480,9316.0,2-37,False,True,False,False,False,False,2,37,3.0,False,True
0.0011645567315949,0.0004901393054234,750,15207.0,2-56,False,False,True,False,False,False,2,56,4.0,False,True
0.0014792798116683,0.0015229788559281,720,15344.0,2-92,False,False,True,False,False,False,2,92,3.0,False,True
0.0023279676958946,0.0193092887861414,210,959.0,2-214,True,False,True,True,False,False,2,214,1.0,True,True
0.0031770140664258,0.006117197712261,120,2192.0,2-216,False,False,True,False,False,False,2,216,3.0,False,True
0.0012252955435109,0.0,567,16605.0,10-3,False,False,True,True,False,False,3,10,8.0,True,False
0.002663151228281,0.0014676397164876,486,3510.0,24-3,True,True,True,True,False,False,3,24,4.0,True,False
0.0005415220840355,1.4934289127837514e-05,459,9720.0,25-3,False,True,True,False,False,False,3,25,6.0,False,False
0.0005903948971926,0.0,324,8235.0,11-3,False,True,True,False,False,False,3,11,7.0,False,False
0.0012752229480328,7.822722876486318e-05,864,17820.0,26-3,False,False,True,False,False,False,3,26,6.0,False,False
0.0009588816217779,0.0001045400238948,432,12690.0,3-4,False,False,True,False,False,False,3,4,6.0,False,True
0.0004270471913101,3.200204813108039e-05,567,14310.0,27-3,False,False,True,False,False,False,3,27,6.0,False,False
0.0028385156782619,0.0001411830616899,567,13635.0,28-3,False,False,True,False,False,False,3,28,6.0,False,False
0.0009758292357489,0.0,594,12150.0,14-3,True,True,True,True,False,False,3,14,7.0,True,False
0.0016463574010217,0.002323879042389,324,7020.0,3-6,False,False,False,False,False,False,3,6,3.0,False,True
0.0012631733024128,0.0004468720674557,945,16875.0,29-3,False,False,True,False,False,False,3,29,5.0,False,False
0.0004703886433139,0.0009072248511572,486,12555.0,3-30,False,False,False,False,False,False,3,30,3.0,False,False
0.0014702946981307,0.0015501565008733,756,19170.0,3-31,False,False,False,False,False,False,3,31,3.0,False,True
0.0006726289741612,0.0006571091952556,405,10530.0,3-7,False,True,False,False,False,False,3,7,3.0,False,True
