source,target,gloss_alpha,betweenness,pf_alpha,ecm_alpha,nc_alpha,mlf_score,lans_alpha,weighted_betweenness,weight,df_alpha
1,2,0,0.0001484798749433,0.445191728240961,0.0236386340111494,7.211653496597137e-11,6.923263745857878e-15,0.217391304347826,0.0,18.0,0.3424626731253705
1,3,0,0.0001598067228382,0.57040608974604,0.0597340054810047,0.0663105489742262,0.009291262770149281,0.3818181818181818,0.0,6.0,0.7031967902985281
1,4,0,0.0002369313020798,0.0711536558338796,0.0034535250160843,0.0,7.60163428341147e-51,0.0384615384615384,0.0,44.0,0.0308727624931262
1,5,0,0.000321974340967,0.0747882351600862,0.09568802267313,0.2377283993787617,0.08597959172065901,0.3164556962025316,0.0,4.0,0.7239870105762076
1,6,0,0.0003055025910282,0.419244172082339,0.0743008702993393,0.0872528283638121,0.030797405304640785,0.4142857142857142,0.0,4.0,0.6667850766969118
1,7,0,0.0001305205671483,0.611185516695601,0.0044149719178676,0.0,2.3116698485007892e-40,0.0588235294117647,0.0,32.0,0.0842281295707368
1,8,0,0.0002001984992392,0.589224184580742,0.01330800447613,4.440892098500626e-16,6.0530289587907126e-21,0.1739130434782608,0.0,21.0,0.1902267747272701
1,9,0,0.0007910418434813,0.362892043903498,0.2364925593137741,0.9895213838969684,0.9203240137561844,0.5040650406504066,0.0004141548580974,2.0,0.8897429817749046
1,10,0,0.0004576631409337,0.337876469081852,0.0545024275779724,0.015566129857663,0.002018994080232862,0.368421052631579,0.0,6.0,0.6365989898930933
1,11,0,0.000582655542524,0.0024351869517779,0.1365934014320373,0.9555765886328358,0.8324738892034943,0.4767441860465116,0.0004191441152575,2.0,0.8897429817749046
1,12,0,0.0005453600193248,0.546050851809307,0.1770540326833725,0.9977492168096452,0.9844669667018457,0.7272727272727273,0.0074122622050617,1.0,0.9433262520937812
1,13,0,0.0002310015796251,0.453930186609375,0.0237145368009805,3.3306690738754696e-16,3.477557547122079e-23,0.1538461538461538,0.0,29.0,0.173807086083416
1,14,0,0.0004663239699332,0.416745409765906,0.0960967689752578,0.0090381598808936,0.0002671034841612111,0.1944444444444444,0.0,9.0,0.4444350960970463
1,15,0,0.0002074792654319,0.0371529894910686,0.0544884018599987,0.0015788283895137,4.041658915809802e-05,0.359375,0.0,9.0,0.5397525954043492
1,16,0,0.0001831251727975,0.383833809457402,0.0180299319326877,0.0,3.776596167519473e-33,0.0769230769230768,0.0,39.0,0.0922959981770643
1,17,0,0.0003716857875421,0.146639198178859,0.0987046062946319,0.0224077632327255,0.0004984895242392913,0.28125,0.0,10.0,0.5474896852732585
1,18,0,0.0009474520758167,0.454774922426771,0.1868124157190323,0.901137709101984,0.6504231650226271,0.5225225225225225,6.8584753609272665e-06,3.0,0.8390883144726503
1,19,0,0.0003479208639786,0.723788040638029,0.0609417036175727,0.0003393082102578,2.845043445762372e-06,0.2560975609756097,0.0,11.0,0.424369451288881
1,20,0,0.0004305510518504,0.553076671847046,0.0542182512581348,3.95210728254547e-07,3.247080620275032e-11,0.1935483870967742,0.0,19.0,0.30436220689174
1,21,0,0.0001527848945096,0.315110865345669,0.0296903606504201,0.0003180132695903,7.711085277878556e-06,0.5,0.0,9.0,0.5885724847219008
1,22,0,0.0001413429146782,0.546050851809307,0.0418063700199127,0.0551000302938493,0.03488228519968086,0.4634146341463414,1.2043156139723477e-05,3.0,0.7475826784862523
1,23,0,6.120070102629411e-05,0.268273374648757,0.0111730992794036,1.4432899320127037e-15,1.398352762404635e-19,0.1304347826086956,0.0,18.0,0.3424626731253705
1,24,0,0.0001483668529645,0.185336218050151,0.0426670499145984,0.0096236805269305,0.0021829269664254713,0.3829787234042553,0.0,5.0,0.6406266668841272
1,25,0,0.0001993093838275,0.552885512615881,0.0265389196574687,1.4328138675523403e-10,7.67935506682071e-15,0.2692307692307693,0.0,19.0,0.3222286214909203
1,26,0,0.0003536506291982,0.403953574870302,0.0004611148324329,0.0,1.584185477237011e-92,0.0,0.0,77.0,0.0017126638565934
